"hotel rooms with bidets in singapore. if contributing thru dms, please let me know the room type! ig @toiletswithbidetsg",,,,
,,,,
M Social Hotel Singapore,Alcove room,Website,"90 Robertson Quay, Singapore 238259",
Oakwood Premier AMTD ,most likely all rooms has bidets!,Website,"6 Shenton Way, #07-01 OUE Downtown 1, Singapore 068809",@hilmzeats's Studio Suite
One Farrer Hotel,"all rooms except ""Calla Lily"" has a TOTO WASHER!!!",Website,1 Farrer Park Station Road Singapore 217562,@hilmzeats's Mint Den
Owen House by Habyt,most likely all rooms has bidets!,Website,"2 Owen Rd, Singapore 218842",
Pan Pacific Singapore,"Panaromic King/Twin
Harbour Studio
(check w hotel before booking!)",Website,"7 Raffles Blvd, Singapore 039595",
PARKROYAL on Beach Road,most likely all rooms has bidets!,Website,"7500 Beach Rd, Singapore 199591",
ParkRoyal Marina Bay Collection ,most likely all rooms has bidets!,Website,"6 Raffles Blvd, Singapore 039594",@hilmzeats's Urban King Room
Raffles Hotel,"Courtyard Suite 
Garden Suite
Presidential Suite
State Room Suite",Website,"1 Beach Rd, Singapore 189673",
Ramada by Wyndham Singapore at Zhongshan Park,most likely all rooms has bidets!,Website,"16 Ah Hood Rd, Singapore 329982",
Royal Plaza on Scotts,All rooms has bidets!,Website,"25 Scotts Rd, Singapore 228220",
Somerset Bencoolen Singapore,All rooms has bidets!,Website,"51 Bencoolen St, Singapore 189630",
,,,,
ST Signature Bugis Middle,"All rooms has bidets!
",Website,"21 Middle Rd, Singapore 188931",
Studio M Hotel,"-previously had bidets here but was removed-

better to check before booking :(",Website,"3 Nanson Rd, Singapore 238910",
The Clan,most likely all rooms has bidets!,Website,"10 Cross St, Singapore 048417","@himlzeats's Deluxe Room
"
The Daulat by Hotel Calmo ,Loft,Booking.com Website,"16 Madras St, Singapore 208413",
The Fullerton Hotel,most likely all rooms has bidets!,Website,"1 Fullerton Square, Singapore 049178",
The Great Madras by Hotel Calmo,The Great Suite,Website,"28 Madras St, Singapore 208422",
,,,,
The Barracks Hotel Sentosa,all rooms has Japanese TOTO Electronic Washlet!!!!!!!!,Website,"2 Gunner Lane, Palawan Ridge, Sentosa Island, Singapore 099567",
The Snooze Hotel Marine Parade,most likely all rooms has bidets!,Website,"400 E Coast Rd, Singapore 428996",
Travelodge Harbourfront,has bidets!,Website,"50 Telok Blangah Road Bay Hotel Singapore, Singapore 098828 Singapore
",
Village Hotel Bugis,All rooms has bidets!,Website,"390 Victoria St, Singapore 188061",
voco Orchard Singapore,All rooms has bidets!,Website,"581 Orchard Rd, Singapore 238883",
"
Wink @ Upper Cross Street","""Our rooms are equipped with a bidet spray for added convenience.""",Website,"38 Upper Cross St, Singapore 058341",
York Hotel Singapore,"Premier Quadraple Room
Premier Family Room
Superior Double/Twin Room
(but please check w hotel first!)",Website,"21 Mount Elizabeth, Singapore 228516",
YOTEL Singapore Orchard Road,"First Class Queen
Premium Queen",Website,"366 Orchard Rd, Singapore 238904",
